Date,^GSPC,^DJI,^IXIC,^FTSE,^GDAXI,^FCHI,^N100,EURUSD=X,^HSI,^DXS,GD=F,EURRUB=X,GC=F,SI=F,PL=F,PA=F,HG=F,ALI=F
2020-07-12,3138.6335205078126,25905.40849609375,10305.105029296876,6172.819970703125,12490.84892578125,4986.276953125,990.5109985351562,1.1266064524650574,25438.3037109375,6390.08310546875,331.29249877929686,79.84958953857422,1791.6849853515625,18.534999752044676,835.9249908447266,1928.304998779297,2.7676250338554382,1623.15
2020-07-26,3225.6050048828124,26665.448046875,10538.51103515625,6226.32001953125,12948.733984375,5055.21396484375,1006.0239868164062,1.144760298728943,25251.1369140625,6416.058984375,338.4699981689453,81.38043060302735,1834.8800048828125,20.848399925231934,880.2400024414062,2097.879992675781,2.9056499719619753,1643.75
2020-08-09,3286.29599609375,26776.044140625,10777.57998046875,6048.619970703125,12636.387109375,4893.73701171875,974.8110107421875,1.1790613651275634,24753.4599609375,6517.785986328125,343.975,85.85760040283203,1979.4199951171875,25.37629985809326,953.7299987792969,2210.4800048828124,2.8866999626159666,1718.475
2020-08-23,3375.0080078125,27826.88515625,11088.90009765625,6109.17998046875,12896.26494140625,4971.092041015625,985.272998046875,1.1826146721839905,25072.4669921875,6795.7330078125,352.0170013427734,86.7705192565918,1959.7099975585938,27.183600234985352,958.2799926757813,2194.7999755859373,2.904900002479553,1748.775
2020-09-06,3483.601025390625,28463.72109375,11637.50185546875,5951.68505859375,13051.13603515625,4997.515087890625,989.5910034179688,1.18557550907135,25241.783984375,6826.33798828125,356.74000244140626,88.61112899780274,1938.8099853515625,27.237500190734863,922.2999938964844,2225.8199951171873,2.9830999612808227,1762.7
2020-09-20,3363.706994628906,27803.93935546875,10984.380078125,6018.319921875,13170.86201171875,5034.020068359375,988.6749938964844,1.1826598405838014,24539.469921875,6713.659594726562,344.83099670410155,89.05899963378906,1945.9849914550782,27.038400173187256,938.8949981689453,2328.0099975585936,3.0470499992370605,1772.7125
2020-10-04,3315.789013671875,27350.6541015625,10973.3078125,5867.169970703125,12673.280078125,4798.711962890625,956.5389953613281,1.171809470653534,23539.4,6555.277978515625,346.39000244140624,90.54269866943359,1884.8900024414063,23.739500045776367,870.4099975585938,2268.22001953125,2.986750030517578,1759.875
2020-10-18,3461.4949951171875,28436.9111328125,11574.69306640625,5949.210009765625,12955.45400390625,4914.9919921875,987.0090026855469,1.176112997531891,24282.4251953125,6731.38798828125,356.0120025634766,91.33952026367187,1902.1599975585937,24.33640022277832,868.4300048828125,2377.15,3.0385499954223634,1839.55
2020-11-01,3386.722998046875,27624.348828125,11342.66904296875,5745.92998046875,12229.38701171875,4776.86806640625,960.9279907226562,1.1785259246826172,24661.4123046875,6545.31005859375,354.40000305175784,91.21696014404297,1897.5199951171876,24.326500129699706,871.5699951171875,2331.1800048828127,3.102550005912781,1834.05
2020-11-15,3493.357958984375,28550.2822265625,11608.80712890625,6066.18994140625,12685.451953125,5130.77001953125,1025.09599609375,1.1772017121315002,25656.5642578125,6981.3458984375,357.4100006103516,91.55555953979493,1893.6699951171875,24.442300033569335,878.0899963378906,2362.189990234375,3.126449966430664,1903.9
2020-11-29,3605.864013671875,29723.0689453125,11975.25439453125,6374.52998046875,13202.883984375,5522.3310546875,1087.9410034179687,1.1872819423675538,26560.78359375,7667.4734375,377.7419921875,90.31078033447265,1840.3000061035157,23.801450157165526,948.8849945068359,2350.660009765625,3.273824989795685,1963.75
2020-12-13,3671.752001953125,29989.223828125,12396.998046875,6497.98994140625,13283.830078125,5560.477880859375,1100.3309936523438,1.2081273317337036,26523.687890625,7810.896923828125,387.5300018310547,90.09964065551758,1832.8800048828125,24.029999923706054,1023.0799865722656,2343.9400146484377,3.4961499691009523,2032.875
2020-12-27,3696.963000488281,30156.13984375,12719.203515625,6510.218277994792,13507.8931640625,5514.81240234375,1097.030499267578,1.2191471457481384,26374.0263671875,7818.296411132813,401.83900146484376,90.21817016601562,1868.8949768066407,25.508250045776368,1028.0299987792969,2327.064990234375,3.5607499718666076,2036.25
2021-01-10,3748.2990112304688,30575.4859375,12882.89462890625,6646.0766194661455,13800.36708984375,5608.20654296875,1114.2219970703125,1.2257678031921386,27285.504296875,7852.301538085938,413.46000213623046,90.97671890258789,1901.0599792480468,26.58360023498535,1078.8399719238282,2401.210009765625,3.5925999879837036,2021.8875
